
10:28 AM5/11/2026

,CP - Binh Duong,

Production Report
5/9/2026 6:00 AM - 5/10/2026 6:00 AM

_
Formula ID,026903,112001,112301,112801,121701,203101,204501,31210831,314001,31411813,320001,320101,32010890,321001,321072,321101,32110890,332101,332211,366301,367101,367301,423001,433780,
Description,CLEAR LINE,510  22/04 BR PRESTR,510S 05/01 BR PRESTR,GT11S 3/3 BR PRESTR,521SPRO 05/01 CHICK STR,549 16/03  MEAT DUCK,540F 26/2  MEAT DUCK,550SFS31 24/04  CREEP FEED,551 24/04  PIG PRESTR,551GPFS13 8/4 PIG PRESTR,552S 04/05  PIG STR,552SF 07/5 PIG STR,552SFS90 7/5 PIG STR,552 04/5 PIG STR,552E 20/1 PIG STR,552F 7/5 PIG STR,552FS90 7/5 PIG STR,553S  04/5 PIG GROWER,553MF 17/03  PIG GROWER( MALE),566F 3/04  PIG GEST,567S 7/1 PIG LACT,567SF 17/03  PIG LACT ,595 20/4 BEEF 16,BS09TA -0809 17/03 (5.1)Cam can sua-silo,
Required (kgs),67350.00,51275.41,16920.00,8423.74,17160.00,42868.57,102157.92,73568.00,16308.00,73386.00,25326.00,308862.60,77216.40,84206.48,8400.00,732141.89,231109.20,43246.35,296368.94,33600.00,50760.00,42983.35,42000.00,10200.00,2455838.84
Actual (kgs),67212.54,51251.02,16842.67,8397.43,17143.61,42794.42,102059.32,73708.87,16296.02,73346.47,25349.27,308506.08,77128.61,83887.65,8385.49,731020.47,230942.98,42293.81,295797.20,33589.26,50649.63,42876.85,41974.41,10245.94,2451700.02
Deviation (kgs),-137.46,-24.39,-77.33,-26.31,-16.39,-74.14,-98.60,140.87,-11.98,-39.53,23.27,-356.52,-87.79,-318.82,-14.51,-1121.42,-166.22,-952.54,-571.74,-10.74,-110.37,-106.50,-25.59,45.94,-4138.82
% Deviation,-0.20,-0.05,-0.46,-0.31,-0.10,-0.17,-0.10,0.19,-0.07,-0.05,0.09,-0.12,-0.11,-0.38,-0.17,-0.15,-0.07,-2.20,-0.19,-0.03,-0.22,-0.25,-0.06,0.45,

,Tonnes,
,2451.70,
,Total Deviation Percent,
,-0.17,

