
5:52 AM5/11/2026

,CP - Binh Duong,

Production Report
5/10/2026 6:00 AM - 5/11/2026 6:00 AM

_
Formula ID,026903,11252892,11352892,115501,201101,201501,203101,203501,312001,312008,31210831,31410854,31411831,31411854,320001,320008,32010890,321021,32110813,32110813,32110890,332101,36430890,366201,36630831,36730831,546000,
Description,CLEAR LINE,510NFP92 22/04  BR PRESTR,511ANFP92 22/04  BR PRESTR,513F 22/04  BR WTHDRWL,548 4/2  MEAT DUCK,548F 4/2  MEAT DUCK,549 16/03  MEAT DUCK,549F 24/02  MEAT DUCK,550S 22/04  CREEP FEED,550SX 12/03  CREEP FEED,550SFS31 24/04  CREEP FEED,551FS54 24/04  PIG PRESTR,551GPFS31 8/4  PIG PRESTR,551GPFS54 8/4 PIG PRESTR,552S 04/05  PIG STR,552SX  04/5 PIG STR,552SFS90 7/5 PIG STR,552PRO 13/11 PIG STR,552FS13  7/5 PIG STR,552FS13  PIG STR,552FS90 7/5 PIG STR,553S  04/5 PIG GROWER,562PFS90 4/2  GILT PREMATING,566 4/5  PIG GEST,566FS31 3/04  PIG GEST,567SFS31 17/03  PIG LACT,302 6/5   QL-LAYER,
Required (kgs),60406.00,75943.05,50652.00,156408.25,58800.00,25500.00,25386.20,68476.80,40960.00,8015.11,155648.00,40960.00,88663.38,81516.00,59094.00,50568.00,274547.19,16820.00,102715.20,17119.20,462218.40,68005.23,143836.85,84200.00,42000.00,42780.00,25206.00,2326444.87
Actual (kgs),60379.44,75963.69,50705.06,156319.60,58785.25,25411.57,25326.67,68390.40,40954.79,8102.83,155597.78,41059.48,88576.02,81520.87,59032.80,50488.29,274038.24,16832.28,102542.35,17124.27,461609.64,67949.52,143731.49,84086.77,41938.56,42771.26,25189.48,2324428.38
Deviation (kgs),-26.56,20.64,53.06,-88.65,-14.75,-88.43,-59.53,-86.40,-5.21,87.72,-50.22,99.48,-87.36,4.86,-61.20,-79.71,-508.95,12.28,-172.85,5.07,-608.77,-55.71,-105.36,-113.23,-61.44,-8.74,-16.52,-2016.48
% Deviation,-0.04,0.03,0.10,-0.06,-0.03,-0.35,-0.23,-0.13,-0.01,1.09,-0.03,0.24,-0.10,0.01,-0.10,-0.16,-0.19,0.07,-0.17,0.03,-0.13,-0.08,-0.07,-0.13,-0.15,-0.02,-0.07,

,Tonnes,
,2324.43,
,Total Deviation Percent,
,-0.09,

