
5:56 AM5/12/2026

,CP - Binh Duong,

Production Report
5/11/2026 6:00 AM - 5/12/2026 6:00 AM

_
Formula ID,36430890,113301,31408852,367201,162001,332301,433779,026903,31411813,31410854,367101,321001,332211,312021,32010890,314001,32110890,314011,36730831,314008,36630831,127001,314021,114011B,332101,36730825,546001,
Description,562PFS90 4/2  GILT PREMATING,511AS 22/04  BR PRESTR,6951XS52 29/4  PIG STR NASA,567 7/1 PIG LACT,511L  22/04  BR STR,553 04/5 PIG GROWER,BS07TA-0807 12/03 Cám bò moi sinh-silo,CLEAR LINE,551GPFS13 8/4 PIG PRESTR,551FS54 24/04  PIG PRESTR,567S 7/1 PIG LACT,552 04/5 PIG STR,553MF 17/03  PIG GROWER( MALE),550PRO 22/04  CREEP FEED,552SFS90 7/5 PIG STR,551 24/04  PIG PRESTR,552FS90 7/5 PIG STR,551GP 12/03  PIG PRESTR,567SFS31 17/03  PIG LACT,551X 24/04  PIG PRESTR,566FS31 3/04  PIG GEST,524  25/03  CHICK LAY,551PRO  05/01 PIG PRESTR,511BNC  22/04  BR STR,553S  04/5 PIG GROWER,567SFS25  17/03  PIG LACT,502 13/03  QL-LAYER,
Required (kgs),50815.63,33810.07,16880.00,25420.99,8400.00,50998.80,32000.00,80688.00,97726.00,163840.00,42300.00,33739.09,42475.16,56638.99,917960.16,48900.00,162632.40,16190.00,85560.00,16229.84,126136.94,51622.20,16080.00,16800.00,42669.83,43008.00,34246.80,2313768.90
Actual (kgs),50847.25,33769.06,16812.46,25361.18,8371.68,50895.39,31953.20,80628.87,97682.11,164130.72,42240.16,33687.01,42369.49,56674.51,916568.53,48934.61,162435.64,16149.47,85568.57,16246.85,125891.27,51735.34,16074.90,16732.51,42539.56,42880.17,34180.53,2311361.05
Deviation (kgs),31.62,-41.01,-67.54,-59.81,-28.32,-103.41,-46.80,-59.13,-43.90,290.72,-59.84,-52.07,-105.67,35.51,-1391.63,34.61,-196.76,-40.53,8.57,17.02,-245.66,113.14,-5.10,-67.49,-130.27,-127.83,-66.27,-2407.85
% Deviation,0.06,-0.12,-0.40,-0.24,-0.34,-0.20,-0.15,-0.07,-0.04,0.18,-0.14,-0.15,-0.25,0.06,-0.15,0.07,-0.12,-0.25,0.01,0.10,-0.19,0.22,-0.03,-0.40,-0.31,-0.30,-0.19,

,Tonnes,
,2311.36,
,Total Deviation Percent,
,-0.10,

