
5:56 AM5/13/2026

,CP - Binh Duong,

Production Report
5/12/2026 6:00 AM - 5/13/2026 6:00 AM

_
Formula ID,026903,114001,114001B,11452835,114701B,127001,203101,204501,216201,312008,314008,314081,31410825,31410854,31411813,320001,32000888,32010890,32010890,321001,321012,32110890,332211,36630831,367101,36710890,36730825,36730831,433000,433060,542000,
Description,CLEAR LINE,511  22/04  BR STR,511B 24/02  BR STR,511NFP35 22/04  BR STR ,GT12BS 22/04  BR STR,524  25/03  CHICK LAY,549 16/03  MEAT DUCK,540F 26/2  MEAT DUCK,544 6/4 DUCK LAYER,550SX 12/03  CREEP FEED,551X 24/04  PIG PRESTR,6951 13/11 PIG STR (NASA),551FS25 24/04  PIG PRESTR,551FS54 24/04  PIG PRESTR,551GPFS13 8/4 PIG PRESTR,552S 12/05  PIG STR,552SXS88  04/5 PIG STR,552SFS90 12/05  PIG STR,552SFS90 7/5 PIG STR,552 04/5 PIG STR,552M 20/1  PIG STR,552FS90 7/5 PIG STR,553MF 17/03  PIG GROWER( MALE),566FS31 12/05  PIG GEST,567S 7/1 PIG LACT,567SXS90 12/05  PIG LACT,567SFS25 12/05 PIG LACT,567SFS31 12/05  PIG LACT,384 20/4 (005-18) DAIRY,BS04 20/4 (005-19) DAIRY STAR VINA,301 06/5 QL-STARTER,
Required (kgs),73964.00,8400.00,85596.00,129740.00,16884.00,301003.50,42483.56,17028.00,25678.80,8062.41,16283.78,25380.00,24576.00,40960.00,162987.74,135072.00,42126.00,265969.60,180171.59,59095.68,50400.00,77036.40,42445.26,84151.79,25380.00,8442.00,42721.74,51315.32,16800.00,8400.00,16804.00,2085359.18
Actual (kgs),73694.69,8370.62,85388.44,129570.46,16833.99,301242.05,42474.18,16989.20,25651.67,8055.35,16290.06,25330.62,24633.69,40952.43,162973.76,134734.75,41994.48,265387.23,179753.66,59000.90,50448.81,76949.80,42328.30,84046.41,25318.06,8472.64,42720.22,51241.70,16748.33,8382.35,16795.19,2082774.03
Deviation (kgs),-269.31,-29.38,-207.56,-169.54,-50.01,238.55,-9.37,-38.80,-27.13,-7.06,6.28,-49.38,57.69,-7.57,-13.98,-337.25,-131.52,-582.37,-417.93,-94.78,48.81,-86.60,-116.95,-105.39,-61.94,30.64,-1.52,-73.62,-51.67,-17.65,-8.81,-2585.15
% Deviation,-0.36,-0.35,-0.24,-0.13,-0.30,0.08,-0.02,-0.23,-0.11,-0.09,0.04,-0.19,0.23,-0.02,-0.01,-0.25,-0.31,-0.22,-0.23,-0.16,0.10,-0.11,-0.28,-0.13,-0.24,0.36,0.00,-0.14,-0.31,-0.21,-0.05,

,Tonnes,
,2082.77,
,Total Deviation Percent,
,-0.12,

