
5:54 AM5/14/2026

,CP - Binh Duong,

Production Report
5/13/2026 6:00 AM - 5/14/2026 6:00 AM

_
Formula ID,026903,114001B,162001,204501,312001,31210825,31210831,314001,320001,32010890,32010890,321021,321041,321072,32110890,32110890,321181,332101,332211,332211,332301,332481,362001,36620890,367101,36730831,411001,423001,433781,511001,
Description,CLEAR LINE,511B 24/02  BR STR,511L  22/04  BR STR,540F 26/2  MEAT DUCK,550S 22/04  CREEP FEED,550SFS25 24/04  CREEP FEED,550SFS31 24/04  CREEP FEED,551 24/04  PIG PRESTR,552S 12/05  PIG STR,552SFS90 12/05  PIG STR,552SFS90 13/05  PIG STR,552PRO 13/11 PIG STR,6953  02/10 PIG STR (NASA),552E  12/05  PIG STR,552FS90 12/05  PIG STR,552FS90 13/05  PIG STR,552WDF 13/05  PIG STR,553S  04/5 PIG GROWER,553MF 13/05  PIG GROWER( MALE),553MF 17/03  PIG GROWER( MALE),553 04/5 PIG GROWER,553WDF 7/1  PIG GROWER,562 7/1 PIG BRD STR,566XS90 12/05  PIG GEST,567S 12/05  PIG LACT,567SFS31 12/05  PIG LACT,571 12/2 CALF PRESTR,595 20/4 BEEF 16,BS10TA-0810 17/03(7.3T)Camchode-bao 40kg,991-18 22/04 (6.2 T) GOAT STR-18(4MM),
Required (kgs),87412.00,42798.00,8400.00,68103.33,8148.00,98304.00,98304.00,65208.00,75978.00,34318.40,540346.80,25230.00,16800.00,8400.00,128394.00,136953.60,42000.00,60394.72,128394.00,135573.52,67910.20,8400.00,25200.00,8400.00,67536.00,111228.00,8400.00,16800.00,14600.00,6200.00,2144134.55
Actual (kgs),87131.81,42688.46,8369.46,68111.26,8133.78,98291.82,98276.54,65404.24,75760.22,34264.05,540073.90,25171.03,16806.72,8368.72,128380.98,136926.56,42055.85,59507.15,128032.60,135612.59,67730.43,8406.89,25125.82,8396.91,67317.29,110919.01,8412.30,16792.24,14653.67,6192.47,2141314.75
Deviation (kgs),-280.19,-109.54,-30.54,7.93,-14.22,-12.18,-27.46,196.24,-217.78,-54.35,-272.90,-58.97,6.72,-31.28,-13.02,-27.04,55.85,-887.57,-361.40,39.08,-179.77,6.89,-74.18,-3.09,-218.70,-308.99,12.30,-7.76,53.67,-7.53,-2819.81
% Deviation,-0.32,-0.26,-0.36,0.01,-0.17,-0.01,-0.03,0.30,-0.29,-0.16,-0.05,-0.23,0.04,-0.37,-0.01,-0.02,0.13,-1.47,-0.28,0.03,-0.26,0.08,-0.29,-0.04,-0.32,-0.28,0.15,-0.05,0.37,-0.12,

,Tonnes,
,2141.31,
,Total Deviation Percent,
,-0.13,

