
5:58 AM5/15/2026

,CP - Binh Duong,

Production Report
5/14/2026 6:00 AM - 5/15/2026 6:00 AM

_
Formula ID,026903,112001,11352892,114001B,114301,12700832,31210831,314011,314021,31410831,31410854,31411813,32000888,32010890,321001,321012,321101,32110890,332211,36430890,366201,36630831,36730825,36730831,423001,513021,
Description,CLEAR LINE,510 13/05  BR PRESTR,511ANFP92 13/05  BR PRESTR,511B 24/02  BR STR,511S 13/05  BR GRW,524P32 13/5 CHICK LAY,550SFS31 24/04  CREEP FEED,551GP 12/03  PIG PRESTR,551PRO  05/01 PIG PRESTR,551FS31 24/04  PIG PRESTR,551FS54 24/04  PIG PRESTR,551GPFS13 8/4 PIG PRESTR,552SXS88 12/05  PIG STR,552SFS90 13/05  PIG STR,552 12/05  PIG STR,552M 12/05  PIG STR,552F 13/05  PIG STR,552FS90 13/05  PIG STR,553MF 13/05  PIG GROWER( MALE),562PFS90 13/05  GILT PREMATING,566 12/05  PIG GEST,566FS31 12/05  PIG GEST,567SFS25 12/05 PIG LACT,567SFS31 12/05  PIG LACT,595 20/4 BEEF 16,6991 12/02 FATTENING GOAT -18,
Required (kgs),60516.00,85235.89,51845.76,43798.00,8395.80,8684.00,204800.00,16190.00,24254.55,49152.00,90068.00,81528.57,16791.47,471877.00,84003.00,25452.35,77036.40,445100.20,145353.60,16814.68,33600.00,134436.38,42860.32,111202.28,25200.00,6000.00,2360196.28
Actual (kgs),60431.67,85015.44,51729.65,43614.39,8394.16,8694.86,205221.42,16205.62,24227.44,49226.78,90131.68,81576.52,16780.05,471402.54,83913.88,25419.11,77110.17,445166.81,145138.65,16771.76,33539.67,134157.27,42811.67,111156.34,25131.53,5971.32,2358940.41
Deviation (kgs),-84.33,-220.45,-116.11,-183.60,-1.64,10.86,421.42,15.62,-27.12,74.78,63.68,47.94,-11.42,-474.46,-89.13,-33.24,73.77,66.61,-214.95,-42.92,-60.33,-279.11,-48.65,-45.94,-68.47,-28.68,-1255.87
% Deviation,-0.14,-0.26,-0.22,-0.42,-0.02,0.13,0.21,0.10,-0.11,0.15,0.07,0.06,-0.07,-0.10,-0.11,-0.13,0.10,0.01,-0.15,-0.26,-0.18,-0.21,-0.11,-0.04,-0.27,-0.48,

,Tonnes,
,2358.94,
,Total Deviation Percent,
,-0.05,

