
5:57 AM5/16/2026

,CP - Binh Duong,

Production Report
5/15/2026 6:00 AM - 5/16/2026 6:00 AM

_
Formula ID,026903,11252892,112801,114001B,123001,161201,201501,203101,312001,312021,31210831,31411831,320001,32010890,321001,321012,321018,321101,32110890,332101,332211,366201,36630831,367201,423700,433000,433700,433774,433780,
Description,CLEAR LINE,510NFP92 13/05  BR PRESTR,GT11S 3/3 BR PRESTR,511B 24/02  BR STR,522 28/08 (6T) CHICK GROW,510M 13/05 BR PRESTR,548F 13/05  MEAT DUCK,549 16/03  MEAT DUCK,550S 22/04  CREEP FEED,550PRO 22/04  CREEP FEED,550SFS31 24/04  CREEP FEED,551GPFS31 8/4  PIG PRESTR,552S 12/05  PIG STR,552SFS90 13/05  PIG STR,552 12/05  PIG STR,552M 12/05  PIG STR,552MX 20/1 PIG STR,552F 13/05  PIG STR,552FS90 13/05  PIG STR,553S 13/05  PIG GROWER,553MF 13/05  PIG GROWER( MALE),566 12/05  PIG GEST,566FS31 12/05  PIG GEST,567 12/05  PIG LACT,6895 20/4 BEEF 16,384 20/4 (005-18) DAIRY,6884 24/04 (005-18) DAIRY NASA,BS10LD-0510 13/4 4.2  Cám ch? d?,BS09TA -0809 17/03 (5.1)Cam can sua-silo,
Required (kgs),94136.00,51852.00,25386.00,43798.00,5994.00,16878.74,16800.00,25488.68,49152.00,32168.01,40960.00,120681.27,67200.00,626289.80,67199.00,50957.54,8400.00,248228.40,333658.40,67633.21,205402.86,67200.00,25200.00,25200.00,16800.00,25200.00,8400.00,4200.00,10200.00,2380663.92
Actual (kgs),93895.53,51762.03,25401.96,43666.08,5972.76,16832.96,16729.77,25504.41,49142.81,32624.84,40912.34,120581.38,67214.53,625512.67,67015.70,50869.36,8362.04,248037.08,333412.95,67489.26,205421.16,67151.13,25132.22,25158.02,16859.75,25179.54,8484.45,4205.27,10212.96,2378744.95
Deviation (kgs),-240.47,-89.97,15.96,-131.92,-21.24,-45.78,-70.23,15.73,-9.19,456.83,-47.66,-99.89,14.53,-777.13,-183.30,-88.18,-37.96,-191.32,-245.45,-143.95,18.30,-48.87,-67.78,-41.98,59.75,-20.46,84.45,5.27,12.96,-1918.97
% Deviation,-0.26,-0.17,0.06,-0.30,-0.35,-0.27,-0.42,0.06,-0.02,1.42,-0.12,-0.08,0.02,-0.12,-0.27,-0.17,-0.45,-0.08,-0.07,-0.21,0.01,-0.07,-0.27,-0.17,0.36,-0.08,1.01,0.13,0.13,

,Tonnes,
,2378.74,
,Total Deviation Percent,
,-0.08,

