
5:55 AM5/17/2026

,CP - Binh Duong,

Production Report
5/16/2026 6:00 AM - 5/17/2026 6:00 AM

_
Formula ID,026903,112001,112301,203101,204101,204501,312101,31210825,31210831,314011,31411854,320101,32010890,321101,32110890,332101,332211,362001,366301,36730831,433760,433778,433781,542000,546001,
Description,CLEAR LINE,510 13/05  BR PRESTR,510S 05/01 BR PRESTR,549 16/03  MEAT DUCK,540  11/9 MEAT DUCK,540F 26/2  MEAT DUCK,550SF 24/04  CREEP FEED,550SFS25 24/04  CREEP FEED,550SFS31 24/04  CREEP FEED,551GP 12/03  PIG PRESTR,551GPFS54 8/4 PIG PRESTR,552SF 13/05  PIG STR,552SFS90 13/05  PIG STR,552F 13/05  PIG STR,552FS90 13/05  PIG STR,553S 13/05  PIG GROWER,553MF 13/05  PIG GROWER( MALE),562 7/1 PIG BRD STR,566F 12/05  PIG GEST,567SFS31 12/05  PIG LACT,BS04A 15/05  (005-18) DAIRY NASA VINA,BS06TA-0806 12/03(6.1)Cam san luong thap,BS10TA-0810 17/03(4.2T)Camchode-bao 40kg,301 13/05  QL-STARTER,502 13/03  QL-LAYER,
Required (kgs),80685.00,17092.98,17017.58,16976.71,16800.00,17028.00,49152.00,49152.00,49152.00,32380.00,81516.00,85438.35,426083.28,633074.41,461028.40,84525.97,188313.20,25200.00,25338.72,51336.00,16800.00,12200.00,4200.00,25200.00,25685.10,2491375.70
Actual (kgs),80515.20,17176.47,17038.26,16966.29,16832.72,16989.65,49131.77,49248.85,49171.34,32340.16,81461.74,85518.95,425453.38,632864.15,460591.81,84345.35,188393.08,25217.56,25346.45,51375.83,16780.83,12233.37,4265.34,25225.34,25621.92,2490105.82
Deviation (kgs),-169.80,83.48,20.68,-10.42,32.72,-38.35,-20.23,96.85,19.34,-39.84,-54.26,80.60,-629.90,-210.25,-436.59,-180.62,79.88,17.56,7.73,39.83,-19.17,33.37,65.34,25.34,-63.18,-1269.88
% Deviation,-0.21,0.49,0.12,-0.06,0.19,-0.23,-0.04,0.20,0.04,-0.12,-0.07,0.09,-0.15,-0.03,-0.09,-0.21,0.04,0.07,0.03,0.08,-0.11,0.27,1.56,0.10,-0.25,

,Tonnes,
,2490.11,
,Total Deviation Percent,
,-0.05,

