
5:48 AM5/18/2026

,CP - Binh Duong,

Production Report
5/17/2026 6:00 AM - 5/18/2026 6:00 AM

_
Formula ID,026903,112001,114521,203101,204501,216201,31210831,314001,31411813,320101,364201,364301,366301,
Description,CLEAR LINE,510 13/05  BR PRESTR,511NF 13/05  BR STR,549 16/03  MEAT DUCK,540F 26/2  MEAT DUCK,544 6/4 DUCK LAYER,550SFS31 24/04  CREEP FEED,551 24/04  PIG PRESTR,551GPFS13 8/4 PIG PRESTR,552SF 13/05  PIG STR,562P 13/05  GILT PREMATING,562PF 13/05  GILT PREMATING,566F 12/05  PIG GEST,
Required (kgs),47060.00,42749.34,110528.80,42587.01,42570.00,25678.80,155648.00,24462.00,163056.00,197330.80,33600.00,67589.78,25300.90,978161.45
Actual (kgs),47000.92,42699.12,110829.68,42626.03,42539.91,25658.06,155675.55,24468.60,163094.73,197428.36,33534.17,67628.51,25249.50,978433.15
Deviation (kgs),-59.08,-50.22,300.88,39.02,-30.09,-20.74,27.55,6.60,38.73,97.55,-65.83,38.73,-51.40,271.70
% Deviation,-0.13,-0.12,0.27,0.09,-0.07,-0.08,0.02,0.03,0.02,0.05,-0.20,0.06,-0.20,

,Tonnes,
,978.43,
,Total Deviation Percent,
,0.03,

