
5:51 AM5/4/2026

,CP - Binh Duong,

Production Report
5/3/2026 6:00 AM - 5/4/2026 6:00 AM

_
Formula ID,026903,114001B,114301,114601,114601B,114701B,127801,162001,162201,201101,201501,203101,204501,312001,312008,31210831,314008,31410831,31410854,31411854,320001,320101,32010890,321001,321012,321021,321101,32110890,332101,366301,367301,36730831,423001,433001,433779,433781,546001,
Description,CLEAR LINE,511B 24/02  BR STR,511S  22/04  BR GRW,GT12 22/04  BR STR,GT12B 22/04  BR STR,GT12BS 22/04  BR STR,6924  26/3 BLACK CHICK LAY (NASA),511L  22/04  BR STR,511M 22/04  BR STR,548 4/2  MEAT DUCK,548F 4/2  MEAT DUCK,549 16/03  MEAT DUCK,540F 26/2  MEAT DUCK,550S 22/04  CREEP FEED,550SX 12/03  CREEP FEED,550SFS31 24/04  CREEP FEED,551X 24/04  PIG PRESTR,551FS31 24/04  PIG PRESTR,551FS54 24/04  PIG PRESTR,551GPFS54 8/4 PIG PRESTR,552S 1/4  PIG STR,552SF 22/04  PIG STR,552SFS90 22/04  PIG STR,552 07/1 PIG STR,552M 20/1  PIG STR,552PRO 13/11 PIG STR,552F 22/04  PIG STR,552FS90 22/04  PIG STR,553S 7/1 PIG GROWER,566F 3/04  PIG GEST,567SF 17/03  PIG LACT ,567SFS31 17/03  PIG LACT,595 20/4 BEEF 16,584 20/4 (005-18) DAIRY,BS07TA-0807 12/03 Cám bò moi sinh-silo,BS10TA-0810 17/03(7.3T)Camchode-bao 40kg,502 13/03  QL-LAYER,
Required (kgs),60570.00,25678.80,25326.00,33600.00,8400.00,16884.00,25685.10,8400.00,16959.60,33600.00,16800.00,67832.44,85140.01,32768.00,16080.00,32768.00,7996.00,98304.00,32724.31,16249.42,42220.00,568242.58,120114.40,101155.00,42000.00,16820.00,213990.00,188305.53,16840.00,42000.00,85797.13,85534.28,16800.00,8391.60,16000.00,14600.00,42808.50,2283384.69
Actual (kgs),60270.44,25655.81,25254.82,33477.63,8372.98,16803.45,25561.98,8367.72,16883.13,33515.84,16726.71,67574.18,85125.53,32776.26,16075.80,32726.64,7998.53,98196.38,32686.20,16300.19,42129.20,567428.06,119795.84,100940.01,41977.62,16816.58,213848.12,188177.98,16796.20,41845.27,85805.68,85596.39,16744.96,8448.35,15978.77,14623.59,42773.00,2280075.84
Deviation (kgs),-299.56,-22.98,-71.18,-122.37,-27.02,-80.55,-123.12,-32.28,-76.47,-84.16,-73.29,-258.26,-14.47,8.26,-4.20,-41.36,2.53,-107.62,-38.10,50.77,-90.80,-814.52,-318.55,-214.99,-22.38,-3.42,-141.88,-127.55,-43.80,-154.73,8.55,62.11,-55.04,56.75,-21.23,23.59,-35.50,-3308.85
% Deviation,-0.49,-0.09,-0.28,-0.36,-0.32,-0.48,-0.48,-0.38,-0.45,-0.25,-0.44,-0.38,-0.02,0.03,-0.03,-0.13,0.03,-0.11,-0.12,0.31,-0.22,-0.14,-0.27,-0.21,-0.05,-0.02,-0.07,-0.07,-0.26,-0.37,0.01,0.07,-0.33,0.68,-0.13,0.16,-0.08,

,Tonnes,
,2280.08,
,Total Deviation Percent,
,-0.14,

