
5:59 AM5/5/2026

,CP - Binh Duong,

Production Report
5/4/2026 6:00 AM - 5/5/2026 6:00 AM

_
Formula ID,026903,112001,113601,114001,114001B,203101,203701,216201,312001,312021,314001,314021,31410854,31411813,31411831,32000888,320021,320101,321018,321072,321101,332211,332301,362001,364201,364301,366201,366301,367101,542000,
Description,CLEAR LINE,510  22/04 BR PRESTR,GT12A 28/08  BR PRESTR,511  22/04  BR STR,511B 24/02  BR STR,549 16/03  MEAT DUCK,NASA6949 09/9 MEAT DUCK ,544 6/4 DUCK LAYER,550S 22/04  CREEP FEED,550PRO 22/04  CREEP FEED,551 24/04  PIG PRESTR,551PRO  05/01 PIG PRESTR,551FS54 24/04  PIG PRESTR,551GPFS13 8/4 PIG PRESTR,551GPFS31 8/4  PIG PRESTR,552SXS88 12/3  PIG STR,552SPRO 1/4  PIG STR,552SF 22/04  PIG STR,552MX 20/1 PIG STR,552E 20/1 PIG STR,552F 22/04  PIG STR,553MF 17/03  PIG GROWER( MALE),553 20/1 PIG GROWER,562 7/1 PIG BRD STR,562P 7/1 GILT PREMATING,562PF 4/2  GILT PREMATING,566 7/1 PIG GEST,566F 3/04  PIG GEST,567S 7/1 PIG LACT,301 6/4 QL-STARTER,
Required (kgs),47110.00,25550.35,33600.00,16800.00,85596.00,16936.97,8400.00,17119.20,8192.00,24126.00,24462.00,16080.00,98304.00,122310.00,48258.24,42113.43,42220.00,514772.98,8400.00,8400.00,350920.61,159863.51,42398.00,50400.00,16800.00,42196.42,84200.00,117600.00,16920.00,25200.00,2115249.71
Actual (kgs),47049.68,25531.25,33595.92,16795.48,85330.51,16948.60,8392.58,17099.76,8252.51,24163.57,24463.25,16066.77,98210.98,122102.82,48179.42,42090.50,42164.04,514100.86,8370.89,8380.24,350790.46,159650.89,42312.59,50379.88,16759.48,42166.40,84125.82,117438.76,16857.96,25182.69,2112954.55
Deviation (kgs),-60.32,-19.10,-4.08,-4.52,-265.49,11.63,-7.42,-19.44,60.51,37.56,1.25,-13.23,-93.02,-207.18,-78.81,-22.93,-55.96,-672.12,-29.11,-19.76,-130.15,-212.63,-85.41,-20.12,-40.52,-30.02,-74.18,-161.24,-62.05,-17.31,-2295.16
% Deviation,-0.13,-0.07,-0.01,-0.03,-0.31,0.07,-0.09,-0.11,0.74,0.16,0.01,-0.08,-0.09,-0.17,-0.16,-0.05,-0.13,-0.13,-0.35,-0.24,-0.04,-0.13,-0.20,-0.04,-0.24,-0.07,-0.09,-0.14,-0.37,-0.07,

,Tonnes,
,2112.95,
,Total Deviation Percent,
,-0.11,

