
5:59 AM5/7/2026

,CP - Binh Duong,

Production Report
5/6/2026 6:00 AM - 5/7/2026 6:00 AM

_
Formula ID,026903,112801,11352892,113801,114001B,121721,161201,201101,312008,312021,31210825,31411813,31411831,31411854,320001,320101,321001,321041,321101,332101,332211,364301,366301,367101,367301,423701,433010,433779,
Description,CLEAR LINE,GT11S 3/3 BR PRESTR,511ANFP92 22/04  BR PRESTR,GT12AS 22/04  BR PRESTR,511B 24/02  BR STR,521SNPRO 4/5 CHICK STR,510M 22/04  BR PRESTR,548 4/2  MEAT DUCK,550SX 12/03  CREEP FEED,550PRO 22/04  CREEP FEED,550SFS25 24/04  CREEP FEED,551GPFS13 8/4 PIG PRESTR,551GPFS31 8/4  PIG PRESTR,551GPFS54 8/4 PIG PRESTR,552S 1/4  PIG STR,552SF 22/04  PIG STR,552 07/1 PIG STR,6953  02/10 PIG STR (NASA),552F 22/04  PIG STR,553S 7/1 PIG GROWER,553MF 17/03  PIG GROWER( MALE),562PF 4/2  GILT PREMATING,566F 3/04  PIG GEST,567S 7/1 PIG LACT,567SF 17/03  PIG LACT ,6995 20/4 BEEF 16,385S 20/4 (005-15) DAIRY BELL,BS07TA-0807 12/03 Cám bò moi sinh-silo,
Required (kgs),53840.00,8415.80,33752.49,8395.80,85596.00,8400.00,16911.95,8400.00,8009.93,16084.00,98304.00,97824.00,80571.10,32616.00,50577.43,531877.18,84301.00,16800.00,368074.21,16877.85,219595.78,84526.59,109200.00,25335.80,111661.14,16800.00,8400.00,32000.00,2233148.05
Actual (kgs),53662.06,8411.80,33771.61,8346.14,85331.51,8406.59,16915.72,8415.46,8028.24,16094.63,98369.18,97770.97,80524.40,32614.14,50523.98,531204.30,84090.10,16774.12,367978.72,16846.45,219140.59,84378.43,109004.10,25296.98,111608.92,16795.65,8379.47,32078.91,2230763.18
Deviation (kgs),-177.94,-4.00,19.12,-49.66,-264.48,6.59,3.77,15.46,18.31,10.63,65.18,-53.03,-46.70,-1.86,-53.44,-672.88,-210.90,-25.88,-95.49,-31.39,-455.19,-148.16,-195.90,-38.82,-52.21,-4.36,-20.53,78.91,-2384.87
% Deviation,-0.33,-0.05,0.06,-0.59,-0.31,0.08,0.02,0.18,0.23,0.07,0.07,-0.05,-0.06,-0.01,-0.11,-0.13,-0.25,-0.15,-0.03,-0.19,-0.21,-0.18,-0.18,-0.15,-0.05,-0.03,-0.24,0.25,

,Tonnes,
,2230.76,
,Total Deviation Percent,
,-0.11,

