
5:56 AM5/8/2026

,CP - Binh Duong,

Production Report
5/7/2026 6:00 AM - 5/8/2026 6:00 AM

_
Formula ID,026903,112001,11252892,127001,204501,314001,31410854,320001,320101,320101,321101,332101,332211,364301,366301,367201,367301,423700,433779,546001,
Description,CLEAR LINE,510  22/04 BR PRESTR,510NFP92 22/04  BR PRESTR,524  25/03  CHICK LAY,540F 26/2  MEAT DUCK,551 24/04  PIG PRESTR,551FS54 24/04  PIG PRESTR,552S 1/4  PIG STR,552SF 06/5  PIG STR,552SF 22/04  PIG STR,552F 22/04  PIG STR,553S 7/1 PIG GROWER,553MF 17/03  PIG GROWER( MALE),562PF 4/2  GILT PREMATING,566F 3/04  PIG GEST,567 7/1 PIG LACT,567SF 17/03  PIG LACT ,6895 20/4 BEEF 16,BS07TA-0807 12/03 Cám bò moi sinh-silo,502 13/03  QL-LAYER,
Required (kgs),47110.00,51172.86,42210.00,93884.70,42570.00,32616.00,155648.00,151992.00,68636.80,634724.40,376841.41,50647.27,203600.98,84447.05,42000.00,25200.00,180474.12,16800.00,16000.00,17123.40,2333698.99
Actual (kgs),47089.60,51193.17,42228.92,93383.36,42512.29,32617.57,155866.57,151804.44,68583.96,634726.48,376298.02,50666.70,203218.85,84327.45,41998.76,25144.82,180547.69,16798.51,16020.03,17125.43,2332152.63
Deviation (kgs),-20.40,20.31,18.92,-501.35,-57.71,1.57,218.57,-187.55,-52.84,2.08,-543.39,19.42,-382.12,-119.59,-1.24,-55.18,73.56,-1.49,20.03,2.03,-1546.36
% Deviation,-0.04,0.04,0.04,-0.53,-0.14,0.00,0.14,-0.12,-0.08,0.00,-0.14,0.04,-0.19,-0.14,0.00,-0.22,0.04,-0.01,0.13,0.01,

,Tonnes,
,2332.15,
,Total Deviation Percent,
,-0.07,

