
5:57 AM5/9/2026

,CP - Binh Duong,

Production Report
5/8/2026 6:00 AM - 5/9/2026 6:00 AM

_
Formula ID,026903,112001,114001B,115501,162201,201501,203101,203701,204501,31202854,31210831,31410831,320001,320001,320021,320101,321001,321012,321101,321101,332211,332301,366201,366301,367101,367301,433000,433001,542000,
Description,CLEAR LINE,510  22/04 BR PRESTR,511B 24/02  BR STR,513F 22/04  BR WTHDRWL,511M 22/04  BR STR,548F 4/2  MEAT DUCK,549 16/03  MEAT DUCK,NASA6949 09/9 MEAT DUCK ,540F 26/2  MEAT DUCK,550XS54PRO 22/04  CREEP FEED,550SFS31 24/04  CREEP FEED,551FS31 24/04  PIG PRESTR,552S 04/05  PIG STR,552S 1/4  PIG STR,552SPRO 1/4  PIG STR,552SF 07/5 PIG STR,552 07/1 PIG STR,552M 20/1  PIG STR,552F 22/04  PIG STR,552F 7/5 PIG STR,553MF 17/03  PIG GROWER( MALE),553 20/1 PIG GROWER,566  4/5 PIG GEST,566F 3/04  PIG GEST,567S 7/1 PIG LACT,567SF 17/03  PIG LACT ,384 20/4 (005-18) DAIRY,584 20/4 (005-18) DAIRY,301 06/5 QL-STARTER,
Required (kgs),33626.00,42781.18,42798.00,70096.00,33919.20,17656.00,59360.00,16800.00,42570.00,8158.00,73728.00,81952.00,25326.00,16888.00,25332.00,677559.49,16860.00,16800.00,102715.20,465585.99,127507.61,42399.00,67360.00,42010.70,50760.00,68738.05,16800.00,16800.00,16804.00,2319690.43
Actual (kgs),33681.76,42694.73,42795.42,69951.06,33846.62,16937.01,59330.84,16751.29,42545.04,8322.39,73704.23,81993.87,25356.32,16838.72,25295.25,676631.31,16831.58,16726.19,103080.86,464682.50,127234.78,42432.50,67354.05,41875.53,50785.38,68662.19,16835.06,16742.88,16794.99,2316714.35
Deviation (kgs),55.76,-86.44,-2.58,-144.94,-72.58,-718.99,-29.16,-48.71,-24.96,164.38,-23.77,41.87,30.32,-49.28,-36.75,-928.18,-28.42,-73.81,365.66,-903.50,-272.83,33.50,-5.95,-135.17,25.38,-75.86,35.06,-57.12,-9.01,-2976.08
% Deviation,0.17,-0.20,-0.01,-0.21,-0.21,-4.07,-0.05,-0.29,-0.06,2.02,-0.03,0.05,0.12,-0.29,-0.15,-0.14,-0.17,-0.44,0.36,-0.19,-0.21,0.08,-0.01,-0.32,0.05,-0.11,0.21,-0.34,-0.05,

,Tonnes,
,2316.71,
,Total Deviation Percent,
,-0.13,

