
5:52 AM5/3/2026

,CP - Binh Duong,

Production Report
5/2/2026 6:00 AM - 5/3/2026 6:00 AM

_
Formula ID,422001,32010890,36430890,31210831,321012,31411831,321001,367201,31411854,114001B,433779,026903,32110890,332101,433780,367101,332211,312021,433000,36630831,314001,36730831,320021,423001,364201,112001,320001,36730825,
Description,594 12/2 BEEF STR 18,552SFS90 22/04  PIG STR,562PFS90 4/2  GILT PREMATING,550SFS31 24/04  CREEP FEED,552M 20/1  PIG STR,551GPFS31 8/4  PIG PRESTR,552 07/1 PIG STR,567 7/1 PIG LACT,551GPFS54 8/4 PIG PRESTR,511B 24/02  BR STR,BS07TA-0807 12/03 Cám bò moi sinh-silo,CLEAR LINE,552FS90 22/04  PIG STR,553S 7/1 PIG GROWER,BS09TA -0809 17/03 (5.1)Cam can sua-silo,567S 7/1 PIG LACT,553MF 17/03  PIG GROWER( MALE),550PRO 22/04  CREEP FEED,384 20/4 (005-18) DAIRY,566FS31 3/04  PIG GEST,551 24/04  PIG PRESTR,567SFS31 17/03  PIG LACT,552SPRO 1/4  PIG STR,595 20/4 BEEF 16,562P 7/1 GILT PREMATING,510  22/04 BR PRESTR,552S 1/4  PIG STR,567SFS25  17/03  PIG LACT,
Required (kgs),17119.20,610517.30,67208.84,90112.00,50400.00,64272.00,67440.00,25200.00,56929.23,25678.80,16000.00,107680.00,325254.40,67360.00,10200.00,67680.00,42000.00,16084.00,16800.00,42000.00,40746.00,77004.00,17388.00,33600.00,8400.00,50963.44,109587.98,42509.26,2166134.46
Actual (kgs),17084.65,609243.75,67060.95,90047.35,50178.74,64099.69,67191.25,25154.12,56899.06,25604.78,15957.04,107347.87,324619.76,67241.42,10213.44,67676.22,41800.55,16088.25,16770.73,41991.11,40787.50,76889.91,16894.84,33577.71,8406.20,50877.20,109221.93,42446.02,2161372.05
Deviation (kgs),-34.55,-1273.55,-147.88,-64.65,-221.26,-172.31,-248.75,-45.88,-30.16,-74.02,-42.96,-332.13,-634.64,-118.58,13.44,-3.79,-199.45,4.25,-29.27,-8.89,41.50,-114.09,-493.16,-22.29,6.20,-86.25,-366.05,-63.24,-4762.41
% Deviation,-0.20,-0.21,-0.22,-0.07,-0.44,-0.27,-0.37,-0.18,-0.05,-0.29,-0.27,-0.31,-0.20,-0.18,0.13,-0.01,-0.47,0.03,-0.17,-0.02,0.10,-0.15,-2.84,-0.07,0.07,-0.17,-0.33,-0.15,

,Tonnes,
,2161.37,
,Total Deviation Percent,
,-0.22,

